Ligand SMILES,IC50 (nM),pIC50,activity_class,MolWt,TPSA,HBD,HBA,RotBonds,LogP,is_known_binder
C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(F)(F)CO)c1c(F)cc(NCCN2CC(CF)C2)cc1F, 0.230000,9.638272163982407,strong,522.5620000000004,54.53000000000001,3.0,4.0,9.0,4.7229000000000045,False
Oc1ccc2c(ccc3cc4ccc(O)cc4c(-c4ccc(OCCN5CCCCC5)cc4)c23)c1, 57,7.2441251443275085,strong,463.5770000000004,52.93,2.0,4.0,5.0,7.089100000000007,False
CCOP(=O)(OCC)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(sc2c1)-c1ccc(O)cc1, 200,6.698970004336019,weak,593.6820000000005,85.3,1.0,8.0,12.0,7.261000000000009,False
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31, 4.9,8.309803919971486,strong,606.7820000000002,57.53,2.0,3.0,14.0,8.682600000000004,False
Oc1ccc2c(CCCC(c3ccc(SC(F)(F)F)cc3)=C2c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c1, 485,6.314258261397736,weak,557.6530000000004,32.7,1.0,4.0,8.0,8.112200000000009,False
CC(C)c1ccc(C)cc1OCc1ccc(cc1)C(=O)N\N=C\c1ccc(cc1)C(O)=O, 450,6.346787486224656,weak,430.5040000000001,87.99000000000001,2.0,4.0,8.0,5.159520000000004,True
CC\C=C/C\C=C/C\C=C/CCCCCCCCCCCc1ccc(C=O)[nH]1, 20000,4.698970004336019,weak,383.62000000000006,32.86,1.0,1.0,18.0,8.129500000000009,True
COc1ccc(OC[C@H](C)NCCCF)cc1[C@H]1N(CC(F)(F)CO)[C@H](C)Cc2c1[nH]c1ccccc21, 1.20,8.920818753952375,strong,519.6080000000002,69.75,3.0,5.0,12.0,4.856600000000004,False
OCc1cc(ccc1Oc1cc(F)cc(Cl)c1)S(=O)(=O)C(F)(F)F, 1700,5.769551078621726,weak,384.73400000000004,63.6,1.0,4.0,4.0,4.057200000000001,True
Oc1ccc2C3=C([C@H](Oc2c1)c1ccc(OCCN2CCOCC2)cc1)c1ccc(O)cc1OCC3, 1.6,8.795880017344075,strong,487.55200000000036,80.62,2.0,7.0,5.0,4.635800000000004,False
COc1cc(ccc1F)C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)cc2CCC1, 208,6.681936665037238,weak,505.60500000000036,41.93000000000001,1.0,4.0,8.0,6.648000000000007,False
C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CCC34)[C@@H]1CCC2O, 7.00,8.154901959985743,strong,274.404,40.46,2.0,2.0,0.0,3.971800000000003,False
OC(=O)c1cccc(NC(=O)COc2ccc(cc2)C23CC4CC(CC(C4)C2)C3)c1, 5000,5.301029995663981,weak,405.49400000000026,75.63000000000001,2.0,3.0,6.0,4.870100000000004,True
CCCC[C@H](OC)c1cc(=O)oc2c(CC(=O)[C@@H](C)CC)c(OC)c(CC=C(C)C)c(OC)c12, 15700,4.804100347590766,weak,472.62200000000036,74.97,0.0,6.0,13.0,6.354300000000007,True
C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(C)(C)F)c1c(F)cc(OCCN2CC(CF)C2)cc1F, 0.530000,9.275724130399212,strong,503.5840000000003,31.5,1.0,3.0,8.0,5.810300000000006,False
OC1CCc2c1c(ccc2Oc1cc(F)cc(F)c1)S(=O)(=O)CC#N, 5200,5.2839966563652006,weak,365.3570000000001,87.39,1.0,5.0,4.0,3.0339800000000023,True
Oc1ccc2C3=C([C@H](Oc2c1)c1ccc(OCCN2CCCCCC2)cc1)c1ccc(O)cc1OCC3, 41,7.3872161432802645,strong,499.6070000000004,71.39,2.0,6.0,5.0,6.179600000000006,False
CC1(C)Oc2ccc(CN(c3ccccc3)S(=O)(=O)c3ccc4OCOc4c3)nc2C=C1, 6500,5.187086643357144,weak,450.51600000000025,77.96000000000001,0.0,6.0,5.0,4.390000000000003,True
Fc1cc(Cl)cc(Oc2ccc(c(C=O)c2Cl)S(=O)(=O)C(F)(F)F)c1, 40.0,7.3979400086720375,strong,417.163,60.440000000000005,0.0,4.0,4.0,5.030800000000001,True
CS(=O)(=O)c1ccc(Oc2cc(F)cc(c2)C#N)c2C[C@H](F)[C@@H](O)c12, 350,6.455931955649724,weak,365.3570000000001,87.39,1.0,5.0,3.0,2.8207800000000014,True
COc1ccc2nc([nH]c2c1)-c1ccc(N)cc1, 1880,5.72584215073632,weak,239.27800000000002,63.92999999999999,2.0,3.0,2.0,2.8207000000000004,True
C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC1(F)CC1)c1nccc(OCCNCCCF)c1F, 3.40,8.468521082957745,strong,472.55500000000023,53.18000000000001,2.0,4.0,10.0,4.8681000000000045,False
Oc1ccc2C3=C([C@H](Oc2c1)c1ccc(OCCN2CC(CF)C2)cc1)c1ccc(O)cc1OCC3, 0.059000,10.229147988357855,strong,489.5430000000003,71.39,2.0,6.0,6.0,5.204900000000005,False
C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(F)F)c1ccc(OCCNCCCF)cc1F, 0.260,9.585026652029182,strong,463.51900000000023,40.29,2.0,3.0,10.0,5.236100000000005,False
O=C(NNc1nc2ccccc2o1)c1ccccc1, 6370,5.195860567664649,weak,253.26100000000002,67.16,2.0,4.0,3.0,2.5847000000000007,True
C[C@@H]1Cc2c([nH]c3ccc(F)cc23)[C@H](N1CCC(O)=O)c1c(F)cnc(OCCN(C)CCCF)c1C, 1.20,8.920818753952375,strong,518.5800000000003,81.69,2.0,5.0,11.0,4.6304200000000035,False
C[C@H]1CN(Cc2ccc(cc2)C(=O)Nc2ccc(cc2)C(F)(F)F)CCN1Cc1cccnc1, 35,7.455931955649724,strong,468.5230000000002,48.470000000000006,1.0,4.0,6.0,5.059000000000005,True
CCOC(=O)c1cccc(NC(=O)\C=C\c2ccc3OCOc3c2)c1, 16700,4.777283528852417,weak,339.3470000000001,73.86,1.0,5.0,5.0,3.243900000000002,True
CCC(=O)Nc1cccc(c1)C(=O)c1ccc(C)c(C)c1, 50280,4.29860473098608,weak,281.35499999999996,46.17,1.0,2.0,4.0,3.8829400000000023,True
OCc1ccc(s1)-c1nc(-c2ccncc2)c2ccccn12, 9100,5.040958607678906,weak,307.37800000000004,50.42,1.0,5.0,3.0,3.6171000000000024,True
O=Cc1ccc(CCCCCCCCCCCCCC\C=C/C\C=C/CCCCC#N)[nH]1, 10000,5.0,weak,438.7000000000002,56.65,1.0,2.0,22.0,9.027480000000002,True
Cn1nnc(Cc2ccccc2-c2sc3cc(O)ccc3c2Oc2ccc(\C=C\C(O)=O)cc2)n1, 1.70,8.769551078621726,strong,484.5370000000002,110.36,2.0,8.0,7.0,5.278300000000003,False
Cc1ccc(c(C)c1)S(=O)(=O)ON1C(=O)c2ccccc2C1=O, 5620,5.250263684430939,weak,331.34900000000005,80.75,0.0,5.0,3.0,2.2199400000000002,True
Oc1ccc(cc1)[C@@H]1Sc2cc(O)ccc2O[C@@H]1c1ccc(OCCN2CCCCC2)cc1, 9.6,8.017728766960431,strong,463.5990000000004,62.160000000000004,2.0,6.0,6.0,5.929600000000005,False
O[C@H]1c2c(CC1(F)F)c(Oc1cc(F)cc(c1)C#N)ccc2S(=N)(=O)CF, 76.0,7.119186407719209,strong,400.35300000000007,94.16999999999999,2.0,5.0,4.0,4.047150000000003,True
Oc1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(sc2c1)C1CCCC1, 5.0,8.301029995663981,strong,449.61600000000027,49.77,1.0,5.0,7.0,6.360200000000006,False
CC1(C)C(O)c2c(ccc(Oc3cc(F)cc(Cl)c3)c2Br)S1(=O)=O, 19600,4.707743928643524,weak,435.69800000000004,63.6,1.0,4.0,2.0,4.633200000000003,True
Cc1c(Cl)cccc1C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)c(F)c2OCC1, 5.00,8.301029995663981,strong,526.0230000000003,41.93000000000001,1.0,4.0,7.0,7.047420000000007,False
CS(=O)(=NC#N)c1ccc(Oc2cc(F)cc(c2)C#N)c2[C@H](F)C(F)(F)[C@@H](O)c12, 2380,5.623423042943488,weak,425.36300000000006,106.47000000000001,1.0,6.0,3.0,4.1203600000000025,True
COc1cc(OCCNCCCF)ncc1[C@H]1N(CC(F)(F)CO)[C@H](C)Cc2c1[nH]c1ccccc21, 1.20,8.920818753952375,strong,506.56900000000024,82.64000000000001,3.0,6.0,12.0,3.863100000000003,False
FC(F)S(=O)(=O)c1ccc(Oc2cc(F)cc(c2)C#N)c(Br)c1C#N, 1900,5.721246399047171,weak,431.1890000000001,90.94999999999999,0.0,5.0,4.0,4.120160000000002,True
Cc1c(Cl)cccc1C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)cc2CCC1, 5.00,8.301029995663981,strong,506.0610000000004,32.7,1.0,3.0,7.0,7.462120000000008,False
OC1CCc2c1c(ccc2Oc1ccc(F)cc1)S(=O)(=O)C(F)(F)F, 670,6.173925197299173,weak,376.327,63.6,1.0,4.0,3.0,3.8911000000000024,True
C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(F)(F)CO)c1c(F)cc(NCCNCCCF)cc1F, 1.20,8.920818753952375,strong,510.5510000000003,63.32000000000001,4.0,4.0,11.0,4.770800000000004,False
FC(F)(F)c1ccc(NC(=O)c2ccc(CN3CCOCC3)s2)cc1, 1600,5.795880017344075,weak,370.39600000000013,41.57000000000001,1.0,4.0,4.0,3.8514000000000026,True
CCC(=C(c1ccc(O)cc1)c1ccc(\C=C\C(=O)NCCCCCNC(=O)CCc2nc3ccc(OC)cc3[nH]2)cc1)c1ccccc1, 1.6,8.795880017344075,strong,656.8270000000003,116.34,4.0,5.0,16.0,7.694900000000008,False
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@H](N1CC(F)(F)CO)c1ccc(OC2CN(CCCF)C2)cn1, 0.560,9.2518119729938,strong,489.5420000000003,77.51,2.0,6.0,9.0,3.344100000000002,False
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c([nH]c2ccc(OCCCCCN3CCCCC3)cc12)-c1ccccc1, 6.6,8.18045606445813,strong,567.7740000000006,77.59,3.0,4.0,14.0,7.255500000000008,False
Cc1c(Cl)c(ccc1Oc1cc(F)cc(Cl)c1)S(=O)(=O)C(F)(F)F, 20.0,7.698970004336019,strong,403.18000000000006,43.370000000000005,0.0,3.0,3.0,5.526720000000003,True
Nc1ccc(cc1)-c1nnn(CC(=O)N2CCCCC2)n1, 17600,4.7544873321858505,weak,286.339,89.92999999999999,1.0,6.0,3.0,0.9347999999999999,True
Cc1nc2ccc(cc2o1)C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)cc2CCC1, 57.0,7.2441251443275085,strong,512.6250000000003,58.730000000000004,1.0,5.0,7.0,6.949920000000008,False
C[C@@H](COc1sc(c2[C@H](O)C(F)(F)Cc12)S(C)(=O)=O)C(F)(F)F, 305000,3.515700160653214,weak,380.356,63.6,1.0,5.0,4.0,2.9536000000000016,True
O[C@H]1c2c(ccc(Oc3cc(F)cc(c3)C#N)c2C(F)F)S(=O)(=O)C1(F)F, 1700,5.769551078621726,weak,405.3,87.38999999999999,1.0,5.0,3.0,3.8407800000000014,True
OCc1ccc(o1)-c1nn(Cc2ccccc2)c2ccccc12, 48400,4.315154638355588,weak,304.34900000000005,51.190000000000005,1.0,4.0,4.0,3.8369000000000026,True
CS(=O)(=O)c1sc(c2C[C@H](F)[C@@H](O)c12)-c1cc(F)cc(Cl)c1, 2200,5.657577319177793,weak,364.822,54.370000000000005,1.0,4.0,2.0,3.538700000000002,True
COc1cc(OCCNCCCF)ncc1[C@H]1N(CC(C)(F)F)[C@H](C)Cc2c1[nH]c1ccccc21, 1.20,8.920818753952375,strong,490.5700000000002,62.410000000000004,2.0,5.0,11.0,4.890700000000004,False
CS(=O)(=O)c1sc(OCCC(F)(F)F)c2CC(F)(F)[C@@H](O)c12, 481000,3.317854923626168,weak,366.329,63.60000000000001,1.0,5.0,4.0,2.7076000000000016,True
OCCS(=O)(=O)c1ccc(Oc2cc(F)cc(c2)C#N)c2CC(F)(F)C(O)c12, 1300,5.886056647693163,weak,413.37300000000016,107.61999999999999,2.0,6.0,5.0,2.4804800000000014,True
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc12, 110,6.958607314841775,weak,480.64900000000034,52.19000000000001,1.0,6.0,7.0,4.943400000000005,True
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(F)cc12, 200,6.698970004336019,weak,458.5770000000002,37.63,1.0,4.0,7.0,6.374420000000005,False
COc1cccc(NC(=O)c2nc(ncc2Cl)S(C)(=O)=O)c1, 11700,4.931814138253838,weak,341.77600000000007,98.25,1.0,6.0,4.0,1.7944,True
Oc1ccc2c(CCCC(c3ccc(Cl)cc3Cl)=C2c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c1, 5.00,8.301029995663981,strong,526.4790000000005,32.7,1.0,3.0,7.0,7.807100000000008,False
Oc1ccc2c(CCCC(c3cncc(Cl)c3)=C2c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c1, 313,6.504455662453552,weak,493.0220000000004,45.59000000000001,1.0,4.0,7.0,6.548700000000007,False
C[C@H]1CC[C@@H]2C[C@H](C[C@@](O)(O2)[C@@H]2CSC(=O)N2)OC(=O)\C=C(C)/CC\C=C\C=C/1, 6700,5.173925197299173,weak,421.5590000000002,84.86000000000001,2.0,6.0,1.0,3.859600000000002,True
COCC(C)(F)CN1[C@H](C)Cc2c(ccc3[nH]ncc23)[C@H]1c1ccc(OCCN2CC(CF)C2)cc1OC, 9.70,8.013228265733755,strong,528.6440000000003,62.849999999999994,1.0,6.0,11.0,4.562200000000004,False
OC1c2c(CC1(F)F)c(Oc1ccc3[nH]ncc3c1)ccc2S(=O)(=O)C(F)(F)F, 4900,5.309803919971486,weak,434.3420000000001,92.28,2.0,5.0,3.0,3.873500000000001,True
COc1ccc2c(O)c(O)ccc2c1-c1c(OC)ccc2c(O)c(O)ccc12, 5100,5.292429823902063,weak,378.3800000000001,99.38000000000001,4.0,6.0,3.0,4.4996000000000045,True
C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(C)(C)F)c1c(F)cc(\C=C\C(=O)NO)cc1F, 29,7.5376020021010435,strong,457.4960000000001,68.36,3.0,3.0,5.0,5.048800000000004,False
CS(=O)(=O)c1sc(Oc2cc(F)cc(c2)C#N)c2CC(F)(F)[C@@H](O)c12, 8700,5.060480747381382,weak,389.3760000000001,87.39,1.0,6.0,3.0,3.179480000000002,True
OC1CCc2c1c(ccc2Oc1ccc(F)c(Cl)c1)S(=O)(=O)C(F)(F)F, 810,6.0915149811213505,weak,410.77200000000005,63.6,1.0,4.0,3.0,4.544500000000002,True
COC(=O)c1ccc(C(=O)OC)c(c1)-n1c(=O)c2ccccc2c2ccccc2c1=O, 25400,4.5951662833800615,weak,415.4010000000001,91.67000000000002,0.0,7.0,3.0,3.077300000000001,True
C[C@H]1CC[C@@H]2OC(C)(C)[C@@H](O)CC=C2[C@@]1(C)CC[C@]1(C)[C@@H](C)CC[C@@H]2OC(C)(C)[C@@]3(O)CC[C@@]12O3, 15000,4.823908740944319,weak,490.72500000000036,68.15,2.0,5.0,3.0,5.909000000000008,True
Cl.Oc1ccc2c(-c3ccccc3)c3cc4ccccc4cc3nc2c1, 294,6.531652669587842,weak,357.8400000000001,33.120000000000005,1.0,2.0,1.0,6.335600000000004,False
FC(F)(F)S(=O)(=O)c1ccc(Oc2ccc(Cl)c(Cl)c2)c(Br)c1, 1900,5.721246399047171,weak,450.059,43.370000000000005,0.0,3.0,3.0,5.841700000000002,True
CC(C)c1ccccc1-c1sc2cc(O)ccc2c1Oc1ccc(\C=C\c2nnc(C)o2)cc1, 1.20,8.920818753952375,strong,468.5780000000002,68.38,1.0,6.0,6.0,8.051420000000007,False
OCc1c(Cl)c(Oc2cccc(c2)C#N)ccc1S(=O)(=O)C(F)F, 420,6.376750709602099,weak,373.76400000000007,87.38999999999999,1.0,5.0,5.0,3.492580000000002,True
COCC(F)(F)CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1c(F)cc(OCCNCCCF)cc1F, 2.50,8.602059991327963,strong,525.5620000000004,49.519999999999996,2.0,4.0,12.0,5.391800000000005,False
Cc1ccc(NC(=S)NNc2ncc(cc2Cl)C(F)(F)F)cc1, 4580,5.33913452199613,weak,360.79200000000003,48.98,3.0,3.0,3.0,4.375720000000001,True
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1cccc(OCCOCc2cn(CCOc3ccc(Cn4c(c(C)c5cc(O)ccc45)-c4ccc(O)cc4)cc3)nn2)c1, 40,7.3979400086720375,strong,995.2159999999997,195.19,4.0,15.0,21.0,8.366320000000007,False
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@H](N1CC(F)(F)F)c1ccc(NC2CN(CCCF)C2)cn1, 2.40,8.619788758288394,strong,476.5220000000002,60.080000000000005,2.0,5.0,7.0,4.311900000000003,False
